,sentence1,sentence2,score
2178,دعا,آن دعا حق مى‏كند چون او فناست‏  آن دعا و آن اجابت از خداست‏,4.5
2179,عاقبت بینی,پنبه اندر گوش حس دون كنيد  بند حس از چشم خود بيرون كنيد,3
2180,مست حق هشيار چون شد از دبور  مست حق نايد به خود از نفخ صور,هين به هر مستى دلا غره مشو  هست عيسى مست حق خر مست جو,4.5
2181,مستی,مست حق هشيار چون شد از دبور  مست حق نايد به خود از نفخ صور,5
2182,آتش ظلم و فساد افروختن‏  مسجد و سجده كنان را سوختن‏,اين زمين را از براى خاكيان‏  آسمان را مسكن افلاكيان‏,1
2183,آواز مطرب و آواز اولیاء,مطرب عشق اين زند وقت سماع‏  بندگى بند و خداوندى صداع‏,4
2184,لذت,"ور تو نگذارى عنايتهاى او		خود گدازد اى دلم مولاى او
",0
2185,امتحان الهی,گر چه گردد در قيامت آن فزون‏  از خدا اينجا بخواهيد آزمون‏,4
2186,حکم و قدر,در جهان اين مدح و شاباش و زهى‏  ز اختيار است و حفاظ آگهى‏,2.5
2187,ضرورت پیروی از پیر و انبیاء,چون بدادى دست خود در دست پير  پير حكمت كه عليم است و خطير,4
2188,طلب,آن دعاى بى‏خود آن خود ديگر است‏  آن دعا ز او نيست گفت داور است‏,1
2189,ضرورت پیروی از پیر و اولیا,بر نويس احوال پير راهدان‏  پير را بگزين و عين راه دان‏,4
2190,جنس  هم جنس,سوى بام آمد ز متن ناودان‏  جاذب هر جنس را هم جنس دان‏,4
2191,ولی,خواب مى‏بينم ولى در خواب نه‏  مدعى هستم ولى كذاب نه‏,0
2192,فنا و بقا,خار بن در قوت و برخاستن‏  خار كن در پيرى و در كاستن‏,3
2193,ابلیس,اين چنين ژاژى چه خايم بهر او  گو بمير آن خائن ابليس خو,4
2194,خواب,حالت من خواب را ماند گهى‏  خواب پندارد مر آن را گمرهى‏,4
2195,ضد,ضد، ضد را بود و هستى كى دهد  بلك ازو بگريزد و بيرون جهد,4
2196,قضا و قدر,منبع حكمت شود حكمت طلب‏  فارغ آيد او ز تحصيل و سبب‏,2
2197,تزکیۀ نفس,شحنه‏ى تقدير گويد راست گو  آن چه بردى شرح واده مو به مو,1
2198,مکر الهی,آن انا را لعنة اللَّه در عقب‏  وين انا را رحمه اللَّه اى محب‏,3
2199,فراست,مستمع چون يافت همچون مصطفى‏  هر سر مويش زبانى شد جدا,4
2200,معرفت ذات  معرفت صفات,اى صفاتت آفتاب معرفت‏  و آفتاب چرخ بند يك صفت‏,3.5
2201,وحدت وجود,در حروف مختلف شور و شکیست  گرچه از یک رو ز سر تا پا یکیست,5
2202,امتحان,آنش گويد هر دو عالم آن تست‏  جمله جانهامان طفيل جان تست‏,1
2203,سبب و اسباب ,چشم بر اسباب از چه دوختيم‏  گر ز خوش چشمان كرشم آموختيم‏,5
2204,ولی,اكثر اهل الجنة البله اى پدر  بهر اين گفته ست سلطان البشر,2.5
2205,وحدت وجود,تفرقه برخیزد و شرک و دوی  وحدتست اندر وجود معنوی,5
2206,عالم توحید,ز انكه دنيا را همى‏ببينند عين‏  و آن جهانى را همى‏دانند دين‏,3.5
2207,راز هستی,"وانما سرى ز اسرارت به ما		تا ببريم از ميان زنارها
",3
2208,قضا و قدر,چون قضا آيد فرو پوشد بصر  تا نداند عقل ما پا را ز سر,4
2209,چشم گويد كرده‏ام غمزه‏ى حرام‏  گوش گويد چيده‏ام سوء الكلام‏,گفت نافرجام و فحش و دمدمه‏  من نتانم باز گفتن آن همه‏,4.5
2210,حکایت اختلاف کردن در چگونگی و شکل پیل,آن يكى را كف چو بر پايش بسود  گفت شكل پيل ديدم چون عمود,5
2211,عقل ,عقل از آن بازى همى‏يابد صبى‏  گر چه با عقل است در ظاهر ابى‏,4.5
2212,صد هزاران بحر و ماهیدر وجود  سجده آرد پیش آن اکرام و جود,ده خداوندى عاريت به حق‏  تا خداونديت بخشد متفق‏,2.5
2213,هوش کلی و جزوی,هوش را توزيع كردى بر جهات‏  مى‏نيرزد تره‏اى آن ترهات‏,3.5
2214,هوشیاری و بیهوشی,در زمان بى‏هشى خود هيچ من‏  در زمان هوش اندر پيچ من‏,4
2215,تقلید,مثنوى را مسرح مشروح ده‏  صورت امثال او را روح ده‏,3
2216,جهد و کوشش,"كه امتحان كرديم و ما را كى رسد		امتحان تو اگر نبود حسد
",0.5
2217,در گلستان عدم چون بی‌خودیست  مستی از سغراق لطف ایزدیست,"بر دهانم نه تو دست خود ببند		مر دهانم را ز گفت ناپسند
",0
2218,دوست نمای فرعی,همچنان کاینجا مغول حیله دان  گفت: «میجویم کسی از مصریان  مصریان را جمع آرید این طرف  تا درآید آن که می باید به کف»,4
2219,چون نکرد آن کار مزدش هست لا  لیس للانسان الا ما سعی,"سخت‏گيرى و تعصب خامى است‏		تا جنينى كار خون آشامى است‏
",1
2220,غربت,كاين همه فقر و جفا ما مى‏كشيم‏  جمله عالم در خوشى ما ناخوشيم‏,1
2221,ظلم,پر ز سر تا پاى زشتى و گناه‏  تسخر و خنبك زدن بر اهل راه‏,2.5
2222,تزکیۀ نفس، نتیجه,روح او خود از نفوس و از عقول‏  روح اصل خويش را كرده نكول‏,2
2223,کریم بودن خداوند,"مروحه‏ى تقدير ربانى چرا		پر نباشد ز امتحان و ابتلا
",0
2224,ابلیس,مسخره‏ى ابليس گردد در زمن‏  از ضعيفى راى آن توبه شكن‏,3.5
2225,آواز مطرب و آواز اولیاء,از دعاهاى زن و زارى او  وز غم مرد و گرانبارى او,3
2226,طلب,أَمَّنْ يُجِيبُ الْمُضْطَرَّ إِذا دَعاهُ‏,4
2227,قضا و قدر,باز دیوانه شدم من ای طبیب!  باز سودایی شدم من ای حبیب!,4
2228,غذا و طعام,اصل نعمتها ز گردون تا به خاك‏  زير آمد شد غذاى جان پاك‏,3.5
2229,سرپوشی  رازداری,راز جز با راز دان انباز نيست‏  راز اندر گوش منكر راز نيست‏,4
2230,ابلیس,صد هزاران سال ابليس لعين‏  بود ز ابدال و امير المؤمنين‏,5
2231,طلب,آن نماز او عجب باطل شود  يا نمازش جايز و كامل بود,3
2232,تجلی خداوند,که بیا من باش یا هم‌خوی من  تا ببینی در تجلی روی من,5
2233,عشق و عقل,عقل در شرحش چو خر در گل بخفت‏  شرح عشق و عاشقى هم عشق گفت‏,4
2234,عشق آن زنده گزین کو باقیست  کز شراب جان‌فزایت ساقیست,"7
",0
2235,ز آن كه ضد را ضد كند پيدا يقين‏  ز آن كه با سركه پديد است انگبين‏,پس نهانيها به ضد پيدا شود  چون كه حق را نيست ضد پنهان بود,4.5
2236,قهر و لطف,آنچ عین لطف باشد بر عوام  قهر شد بر نازنینان کرام,5
2237,گفت: با آن کس که ما را آفرید  این زمین و چرخ از او آمد پدید,گر بگويد فقه فقر آيد همه‏  بوى فقر آيد از آن خوش دمدمه‏,2
2238,عالم اسباب و چيزى بى‏سبب‏  مى‏نيايد پس مهم باشد طلب‏,آن نماز او عجب باطل شود  يا نمازش جايز و كامل بود,3
2239,سماع,اين زمان بشنو چه مانع شد مگر  مستمع را رفت دل جاى دگر,4
2240,سرپوشی  رازداری,تو قبا مى‏خواستى خصم از نبرد  رغم تو كرباس را شلوار كرد,1
2241,جنس  هم جنس,گر نديدى جنس خود كى آمدى‏  كى به غير جنس خود را بر زدى‏,4
2242,تزکیۀ نفس، نتیجه,چون كه مغز من ز عقل و هش تهى است‏  پس گناه من در اين تخليط چيست‏,2
2243,توکل,ور ضرورت هست هم پرهيز به‏  ور خورى بارى ضمان آن بده‏,3.5
2244,ای دهان! تو خود دهانه دوزخی  و ای جهان! تو بر مثال برزخی,ور ز غير جنس باشد ذوق ما  آن مگر مانند باشد جنس را,3.5
2245,ضد,چون نمى‏پايد همى‏پايد نهان‏  هر ضدى را تو به ضد او بدان‏,4
2246,تزکیۀ نفس، کشتن نفس,روح او خود از نفوس و از عقول‏  روح اصل خويش را كرده نكول‏,1
2247,آواز مطرب و آواز اولیاء,گفت پيغمبر كه آواز خدا  مى‏رسد در گوش من همچون صدا,3.5
2248,توکل,در یکی گفته که واجب خدمت است    ور اندیشۀ توکل تهمت است,5
2249,معجره,تا در اشتر با تو انبازى كند  بهر طمع اشتر اين بازى كند,1.5
2250,غیرت,بد گمانى كردن و حرص آورى‏  كفر باشد پيش خوان مهترى‏,1
2251,مکر الهی,اين چه سر است اين چه سلطانى است باز  اى خداوند خداوندان راز,4.5
2252,دعا,پس چرا گويد دعا الا مگر  در دعا بيند رضاى دادگر,4
2253,عقل را قربان كن اندر عشق دوست‏  عقلها بارى از آن سوى است كاوست‏,عامل عشق است معزولش مكن‏  جز به عشق خويش مشغولش مكن‏,1
2254,بو که استادی رهاند مر تو را  وز خطر بیرون کشاند مر تو را,در حديث آمد كه مومن در دعا  چون امان خواهد ز دوزخ از خدا,4
2255,سماع,و انچه او خواهد رساند آن به گوش‏  از سماع و از بشارت وز خروش‏,4
2256,قهر و لطف,"اصبع لطف است و قهر و در ميان‏		كلك دل با قبض و بسطى زين بنان‏
",3
2257,سجود (سجده),در سجودت كاش رو گردانى‏اى‏  معنى سبحان ربى دانى‏اى‏,4
2258,بى‏وفايى دان وفا با رد حق‏  بر حقوق حق ندارد كس سبق‏,گفت آدم كه ظلمنا نفسنا  او ز فعل حق نبد غافل چو ما,3.5
2259,سبب و اسباب ,کل شیء قاله غیرالمفیق  ان تکلف او تصلف لا یلی,4
2260,سبب و اسباب ,این جهان و آن جهان زاید ابد  هر سبب مادر اثر از وی ولد,5
2261,ویرانی  آبادانی,رونق و طاق و طرنب و سحرشان‏  گر چه خلقان را كشد گردن كشان‏,2
2262,معرفت,علم چون بر دل زند يارى شود  علم چون بر تن زند بارى شود,3
2263,سرپوشی  رازداری,لوح محفوظى است پيشانى يار  راز كونينش نمايد آشكار,3
2264,سجود (سجده),پاى ظاهر در صف مسجد صواف‏  پاى معنى فوق گردون در طواف‏,2
2265,جسم و جان  صورت و معنی,كه ز شادى خواست هم فانى شدن‏  بس مطوق آمد اين جان و بدن‏,3
2266,لذت هستی نمودی نیست را  عاشق خود کرده بودی نیست را,"عالم السر است پنهان دار كام‏		گفت كردم توبه پيشت اى همام‏
",1.5
2267,کافر و فاسق در این دورِ گزند  پردۀ خود را به خود بر میدرند,ظالم است او بر خود و بر جان خود  ظلم بين كز عدلها گو مى‏برد,3.5
2268,غیرت,بانگ برزد غیرت حق کای صفی  تو نمیدانی ز اسرار خفی,5
2269,گفت امیرالمومنین با آن جوان  که به هنگام نبرد ای پهلوان,صدق تو آورد در جستن ترا  جستنم آورد در صدقى مرا,2
2270,نبوت، رسالت,"مكر كن در راه نيكو خدمتى‏		تا نبوت يابى اندر امتى‏
",1.5
2271,با چنین قهری که زفت و فایق است  برد لطفش بین که بر وی سابق است,"نطق آب و نطق خاك و نطق گل‏		هست محسوس حواس اهل دل‏
",0
2272,رضا,گفت حق در آفتاب منتجم‏  ذكر تزاور كذا عن كهفهم‏,2
2273,معرفت,گفت: اگرچه پاکم از ذکر شما  نیست لایق مرمرا تصویرها,4
2274,اخلاص,ليك از ايمان و صدق بايزيد  چند حسرت در دل و جانم رسيد,3
2275,دوست نمای فرعی,ور كه خور را دوست دارد او به جان‏  دوستى خويش باشد بى‏گمان‏,4
2276,لطف مخفى در ميان قهرها  در حدث پنهان عقيق بى‏بها,"از دهان آدمى خوش مشام‏		هم پيام حق شنودم هم سلام‏
",1.5
2277,اضداد در جهان,"اين جهان و ساكنانش منتشر		و آن جهان و سالكانش مستمر
",0.5
2278,رزق,آن چنان كه عاشقى بر رزق زار  هست عاشق رزق هم بر رزق خوار,4
2279,تو به یک خواری گریزانی ز عشق  تو به جز نامی چه می‌دانی ز عشق," وَ هُوَ مَعَكُمْ‏
",0
2280,در نیابد حال پخته هیچ خام  پس سخن کوتاه باید والسلام,لوح محفوظى است پيشانى يار  راز كونينش نمايد آشكار,2.5
2281,عشق و عقل,عقل جزوى عشق را منكر بود  گر چه بنمايد كه صاحب سر بود,4
2282,طلب,با چنين تقوى و اوراد و قيام‏  طالب خاصان حق بودى مدام‏,4
2283,حکم و قدر,ور بود اين جبر جبر عامه نيست‏  جبر آن اماره‏ى خودكامه نيست‏,2
2284,دوست نمای فرعی,آستان و صدر در معنى كجاست‏  ما و من كو آن طرف كان يار ماست‏,3
2285,سرپوشی  رازداری,كار پنهان كن تو از چشمان خود  تا بود كارت سليم از چشم بد,4
2286,تزکیۀ نفس، کشتن نفس,چون سزاى اين بت نفس او نداد  از بت نفسش بتى ديگر بزاد,3.5
2287,فنا و عشق,عشق را صد ناز و استكبار هست‏  عشق با صد ناز مى‏آيد به دست‏,2
2288,هر چه كارى از براى او بكار  چون اسير دوستى اى دوستدار,دوست بينى از تو رحمت مى‏جهد  خصم بينى از تو سطوت مى‏جهد,2.5
2289,کریم بودن خداوند,رو سپس کردم بدان محض کرم  سوی فعل خویشتن می‌ننگرم,4
2290,آن یکی زاهد شنود از مصطفی  که یقین آید به جان رزق از خدا,"جمله عالم آكل و مأكول دان‏		باقيان را مقبل و مقبول دان‏
",0.5
2291,عنایات حق,شكر آن نعمت كه‏تان آزاد كرد  نعمت حق را ببايد ياد كرد,4
2292,چون که من من نیستم، این دم ز هوست  پیش این دم هر که دم زد کافر اوست,صبر كن اندر جهاد و در عنا  دم‏به‏دم مى‏بين بقا اندر فنا,4.5
2293,غیرت,خشم و شهوت مرد را احول كند  ز استقامت روح را مبدل كند,1
2294,فراست,حاصل افعال برونی دیگرست  تا نشان باشد بر آنچه مضمر است,4
2295,جنس  هم جنس,من چو میزان خدایم در جهان  وانمایم هر سبک را از گران,4
2296,فنا و بقا,تا نگردد رازهاى غيب فاش‏  تا نگردد منهدم عيش و معاش‏,3.5
2297,عشق مجازی و حقیقی,جمله معشوق است و عاشق پرده‏اى‏  زنده معشوق است و عاشق مرده‏اى‏,4
2298,سجود (سجده),سجده آدم را بيان سبق اوست‏  سجده آرد مغز را پيوست پوست‏,4.5
2299,معجره,این بود تآویل اهل اعتزال  و آن آن کس کو ندارد نور حال,4
2300,خوف و رجا,حق همی خواهد که هر میر و اسیر  با رجا و خوف باشند و حذیر,5
2301,معجره,اشكم پر لوت دان بازار ديو  تاجران ديو را در وى غريو,1
2302,راز هستی,"خويشتن را من نمى‏بينم فنى‏		تا بود هم راز تو همچون منى‏
",0.5
2303,گردش چرخه رسن را علتست  چرخه گردان را ندیدن زَلّتست,"صيد دين كن تا رسد اندر تبع‏		حسن و مال و جاه و بخت منتفع‏
",1
2304,عشق,"عشق بشكافد فلك را صد شكاف‏		عشق لرزاند زمين را از گزاف‏
",4.5
2305,عشق و عقل,عقل حيران كه چه عشق است و چه حال‏  تا فراق او عجبتر يا وصال‏,4
2306,این جهان و آن جهان زاید ابد  هر سبب مادر اثر از وی ولد,"ور همى‏بيند چرا نبود دليل‏		پشت دار و جان سپار و چشم سير
",0.5
2307,عاقبت بینی,بر دم و دندان سگسارانه‏شان‏  بر دهان و چشم كژدم خانه‏شان‏,2
2308,طلب,سهل گردان ره نما توفيق ده‏  يا تقاضا را بهل بر ما منه‏,3
2309,که ببینم رزق می‌آید به من  تا قوی گردد مرا در رزق ظن,"راه روزى كسب و رنج است و تعب‏		هر كسى را پيشه‏اى داد و طلب‏
",3
2310,آن شغالی رفت اندر خم رنگ  اندر آن خم کرد یک ساعت درنگ,ز انكه هستى سخت مستى آورد  عقل از سر شرم از دل مى‏برد,4
2311,عشق و معشوق,"هست قرآن حالهاى انبيا		ماهيان بحر پاك كبريا
",0
2312,هر پیمبر در میان امتان  همچنین تا مخلصی می‌خواندشان,"چون ز ذات حق بعيدى وصف ذات‏		باز دانى از رسول و معجزات‏
",3.5
2313,بهر این دنیاست مرسل رابطه  مؤمنان را زانک هست او واسطه,"مثنوى معنوى، متن، ص: 305
",0
2314,از محقق تا مقلد فرق‏هاست‏  كاين چو داود است و آن ديگر صداست‏,گويد اين آواز ز آوازها جداست‏  زنده كردن كار آواز خداست‏,4
2315,این دریغاها خیال دیدن است  وز وجود نقد خود ببریدن است,من نيم در عهد ايمان بت پرست‏  بت بر آن بت پرست اوليتر است‏,3
2316,امتحان,كه امتحان كرديم و ما را كى رسد  امتحان تو اگر نبود حسد,3
2317,قهر و لطف,بستهٔ قهر خفی وانگه چه قهر  قند می‌خوردید و در وی درج زهر,5
2318,مرگ,مرگ يك قتل است و اين سيصد هزار  هر يكى را خونبهايى بى‏شمار,4
2319,دعا,اين دعا بسيار كرديم و صلات‏  پيش لات و پيش عزى و منات‏,4.5
2320,عشق,عاشقان در سیل تند افتاده‌اند  بر قضای عشق دل بنهاده‌اند,5
2321,عنایات حق,و آن محب حق ز بهر حق كجاست‏  كه ز اغراض و ز علتها جداست‏,2.5
2322,نشانۀ دوستی,هديه‏هاى دوستان با همديگر  نيست اندر دوستى الا صور,4.5
2323,بسته پایی چون گیا اندر زمین  سر بجنبانی به بادی بی یقین,شيطنت گردن كشى بد در لغت‏  مستحق لعنت آمد اين صفت‏,3
2324,راز هستی,"لطف كن اى راز دان رازگو		آن چه بازت صيد كردش باز گو
",2.5
2325,خداشناسی ,تا مسبب بیند اندر لامکان  هرزه داند جهد و اکساب و دکان,5
2326,صد هزاران گور ده‌شاخ و دلیر  چون عدم باشند پیش صول شیر,"نه كه ما را دست فضلش كاشته ست‏		از عدم ما را نه او برداشته ست‏
",3
2327,عشق و معشوق,"پوستين و چارق آمد از نياز		در طريق عشق محراب اياز
",2.5
2328,ابلیس,صد هزاران سال ابليس لعين‏  بود ز ابدال و امير المؤمنين‏,5
2329,ضد,در عدم هستى برادر چون بود  ضد اندر ضد چون مكنون بود,4.5
2330,بستهٔ قهر خفی وانگه چه قهر  قند می‌خوردید و در وی درج زهر,"همچنين دان جمله احوال جهان‏		قحط و جذب و صلح و جنگ از افتتان‏
",1
2331,استدراج,گفت قاضى واجب آيدمان رضا  هر قفا و هر جفا كارد قضا,2
2332,عالم السر است پنهان دار كام‏  گفت كردم توبه پيشت اى همام‏,چون نه‏اى رنجور سر را بر مبند  اختيارت هست بر سبلت مخند,2.5
2333,قهر و لطف,با چنین قهری که زفت و فایق است  برد لطفش بین که بر وی سابق است,5
2334,پس چرا ایمن شوی بر رای دل  عهد بندی تا شوی آخر خجل؟,بهر فرمان حكمت فرمان چه بود  اندكى ز اسرار آن بايد نمود,3
2335,گنج مخفی بد، ز پری چاک کرد  خاک را تابان تر از افلاک کرد,تجربه و تعليم بيش و كم كند  تا يكى را از يكى اعلم كند,3.5
2336,آواز مطرب و آواز اولیاء,مطرب عشق اين زند وقت سماع‏  بندگى بند و خداوندى صداع‏,4
2337,لاجرم ابصار ما لاتدرکه  و هو یدرک بین تو از موسی و کنه,اين چه مى‏گويم به قدر فهم تست‏  مردم اندر حسرت فهم درست‏,3.5
2338,عقل کل را گفت ما زاغ البصر   عقل جزوی می کند هر سو نظر,هست ز آن سوى خرد صد مرحله‏  عقل را واقف مدان ز آن قافله‏,4
2339,غربت,بشنو این نی چون شکایت میکند  از جدایی ها حکایت میکند,4
2340,سير نوشى از طعام و نقل حق‏  تا رود از تو شكم خوارى و دق‏,ان فى الجوع طعاما وافرا  افتقدها و ارتج يا نافرا,3.5
2341,معجزه,نه چو معراج بخارى تا سما  بل چو معراج جنينى تا نهى‏,4
2342,لذت,تو خوش و خوبی و کان هر خوشی  تو چرا خود منت باده کشی,4
2343,تاویل,عقل بحثى گويد اين دور است و گو  بى‏ز تاويلى محالى كم شنو,4
2344,کرده ای تاویل حرف بکر را  خویش را تاویل کن نه ذکر را,ليك بر مقتل نيامد تيرها  كار بخت است اين نه جلدى و دها,2
2345,زلت آدم ز اشكم بود و باه   و آن ابليس از تكبر بود و جاه‏,صد هزاران سال ابليس لعين‏  بود ز ابدال و امير المؤمنين‏,5
2346,معرفت ذات  معرفت صفات,علم و حكمت بهر راه و بى‏رهى است‏  چون همه ره باشد آن حكمت تهى است‏,3
2347,پس عدم گردم عدم چون ارغنون          گویدم انّا الیه راجعون,"بر عدم باشم نه بر موجود مست‏		ز انكه معشوق عدم وافى‏تر است‏
",2.5
2348,سجود (سجده),ور بشد اندر تردد صد دله‏  يك زمان شكر استش و سالى گله‏,2
2349,مرده بدم زنده شدم، گریه بدم خنده شد  دولت عشق آمد و من دولت پاینده شدم,"عاشق و معشوق و عشقش بر دوام‏		در دو عالم بهره‏مند و نيك نام‏
",3
2350,عشق مجازی و حقیقی,اى رهيده جان تو از ما و من‏  اى لطيفه‏ى روح اندر مرد و زن‏,2.5
2351,اتحاد ظاهر و مظهر,"اين مزاجت از جهان منبسط		وصف وحدت را كنون شد ملتقط
",1
2352,سبب و اسباب ,"هر دليلى بى‏نتيجه و بى‏اثر		باطل آمد در نتيجه‏ى خود نگر
",0
2353,تزکیۀ نفس,كآن تحمل از هواى نفس نيست‏  آن خيال نفس تست آن جا مه‏ايست‏,4
2354,ظلم,ظلم مستور است در اسرار جان‏  مى‏نهد ظالم به پيش مردمان‏,4
2355,معرفت ذات  معرفت صفات,علم چون بر دل زند يارى شود  علم چون بر تن زند بارى شود,3.5
2356,خداشناسی ,"ده خداوندى عاريت به حق‏		تا خداونديت بخشد متفق‏
",0
2357,ابلیس,همچو ابليس از خداى پاك فرد  تا قيامت عمر تن درخواست كرد,4
2358,سخن ناقص  سخن شر,هست در بط غير اين بس خير و شر  ترسم از فوت سخنهاى دگر,4
2359,تا در آمد حكم و تقدير اله‏  عقل حارس خيره سر گشت و تباه‏,شد اسير آن قضا مير قضا  شاد باش اى چشم تيز مرتضى‏,3
2360,حکایت اختلاف کردن در چگونگی و شکل پیل,پيل هست اين سو كه اكنون مى‏رويد  پيل زاده مشكنيد و بشنويد,4
2361,مشورت  مصاحبت و همنشینی,گفت اى خوشنام غير من بجو  ماجراى مشورت با او بگو,4
2362,فنا و بقا,يك بميرد يك بماند تا به روز  يك بود پژمرده ديگر با فروز,3.5
2363,تزکیۀ نفس، نتیجه,شحنه‏ى تقدير گويد راست گو  آن چه بردى شرح واده مو به مو,1
2364,مرگ,موت را چون زندگى قابل شده‏  با هلاك جان خود يكدل شده‏,4
2365,امتحان,سنگهاى امتحان را نيز پيش‏  امتحانها هست در احوال خويش‏,4.5
2366,خیال و وهم و گمان,بر خيالش گر روى تا اصل او  نى چو عباد خيال تو به تو,3
2367,در جهان گر لقمه و گر شربت است  لذت او فرع محو لذت است,"در دل كه لعلها دلال تست‏		باغها از خنده مالامال تست‏
",2.5
2368,راز هستی,"هر كسى از ظن خود شد يار من‏		از درون من نجست اسرار من‏
",0.5
2369,مرگ,ور ز ابدالى و ميشت شير شد  ايمن آ كه مرگ تو سر زير شد,3
2370,هوش جزوی و کلی,عقل تو افزون شود بر ديگران‏  ليك تو باشى ز حفظ آن گران‏,2
2371,بعد از ن هر جا روی، مشرق شود  شرقها بر مغربت عاشق شود,زير و بالا پيش و پس وصف تن است‏  بى‏جهت آن ذات جان روشن است‏,3.5
2372,ضرورت پیروی از پیر و اولیا,ز انكه ميراث از رسول آن است و بس‏  كه ببيند غيبها از پيش و پس‏,3.5
2373,سر برآرد از رکوع آن شزمسار  باز اندر رو فتد آن خام کار,سجده‏گه را تر كن از اشك روان‏  كاى خدا تو وارهانم زين گمان‏,4
2374,خواب,خواب در بنهاده اى بيداريى‏  بسته‏اى در بى‏دلى دل داريى‏,4.5
2375,معجره,هر كه مستوحش بود پر غصه جان‏  كرده باشد با دغايى اقتران‏,3
2376,ولی,وَ هُوَ مَعَكُمْ‏,0
2377,جوشش خون,خون شود روزى كه خونش سود نيست‏  خون شو آن وقتى كه خون مردود نيست‏,4
2378,جسم و جان  صورت و معنی,معنى تو صورت است و عاريت‏  بر مناسب شادى و بر قافيت‏,4
2379,هوشیاری و بیهوشی,اختران چشم و گوش و هوش ما  شب كجايند و به بيدارى كجا,3.5
2380,عالم توحید,اين مزاجت از جهان منبسط  وصف وحدت را كنون شد ملتقط,3
2381,خواب,چشم مى‏مالم به هر لحظه كه من‏  خواب مى‏بينم خيال اندر زمن‏,4.5
2382,مستی,آن كه تو مستش كنى و شير گير  گر ز مستى كج رود عذرش پذير,3.5
2383,جسم و جان  صورت و معنی,جوزها بشکست و ان کان مغز داشت  بعد کشتن روح پاک نغز داشت,4
2384,نور حق را نیست ضد‌ی در وجود  تا به ضد او را توان پیدا نمود,"او ز حيوانها فزون‏تر جان كند		در جهان باريك كاريها كند
",0
2385,خداشناسی ,دوست گیری چیزها را از اثر  پس چرا ز آثاربخشی بی‌خبر,5
2386,فنا و بقا,در فناها اين بقا را ديده‏اى‏  بر بقاى جسم چون چفسيده‏اى‏,4.5
2387,سجده آمد كندن خشت لزب‏  موجب قربى كه‏ وَ اسْجُدْ وَ اقْتَرِبْ‏,نور ديگر از دل آن نور رست‏  پس ترقى جست آن ثانيش چست‏,1
2388,"جهد فرعونی, چو بی توفیق بود  هرچه او میدوخت، آن تفتبق بود",اين دو علت گر بود اى جان مرا  آن يكى از تست و ديگر از خدا,3
2389,من به تبلیغ رسالت آمدم  تا رهانم مر شما را از ندم,"پس نظرگاه شعاع آن آهن است‏		پس نظرگاه خدا دل نى تن است‏
",1
2390,عالم توحید,انبيا بودند ايشان اهل ود  اتحاد انبيايم فهم شد,1
2391,قهر و لطف,"چون بميرم فضل تو خواهد گريست‏		از كرم گر چه ز حاجت او برى است‏
",1.5
2392,سجده (سجود),پاى ظاهر در صف مسجد صواف‏  پاى معنى فوق گردون در طواف‏,2
2393,خیال و وهم و گمان ,خلق پندارند عشرت مى‏كنند  بر خيالى پر خود بر مى‏كنند,4
2394,رحمت مخلوق باشد غصه‏ناك‏  رحمت حق از غم و غصه‏ست پاك‏,از كه بگريزيم از خود اى محال‏  از كه برباييم از حق اى وبال‏,3
2395,هوش جزوی و کلی,عقل عقلند اوليا و عقلها  بر مثال اشتران تا انتها,3.5
2396,در یکی گفته که واجب خدمت است    ور اندیشۀ توکل تهمت است,گفت از ضعف توكل باشد آن‏  ور نه بدهد نان كسى كه داد جان‏,5
2397,امتحان الهی,نى خدا را امتحانى مى‏كنند  نى در سود و زيانى مى‏زنند,4
2398,طلب,رغبت ما از تقاضاى تو است‏  جذبه‏ى حق است هر جا رهرو است‏,3
2399,گفت پیری مر طبیبی را که من  در زحیرم از دماغ خویشتن,"عشق معشوقان دو رخ افروخته‏		عشق عاشق جان او را سوخته‏
",2
2400,استدراج,حكم حق بر لوح مى‏آيد پديد  آن چنان كه حكم غيب بايزيد,3
2401,پس دوتا باید کمند اندر صور  گرچه یکتا باشد آن دو در اثر,"شمس در خارج اگر چه هست فرد		مى‏توان هم مثل او تصوير كرد
",0.5
2402,چون مراد و حکم یزدان غفور  بود در قدمت تجلی و ظهور,"مژده مژده كان عدوى جانها		كند قهر خالقش دندانها
",1
2403,مستی,مست بودند و رهيده از كمند  هاى و هوى عاشقانه مى‏زدند,4
2404,لذت هستی نمودی نیست را  عاشق خود کرده بودی نیست را,"تا نپوشد روى خود را در دمت‏		دم فرو خوردن ببايد هر دمت‏
",0
2405,سجده (سجود),آن دعاى بى‏خود آن خود ديگر است‏  آن دعا ز او نيست گفت داور است‏,2.5
2406,وز تو جزو جنتی ای نامدار  عیش تو اشد ز جنت پایدار,او چو عقل و خلق چون اعضاى تن‏  بسته‏ى عقل است تدبير بدن‏,3
2407,این سخن پایان ندارد مارگیر  میکشید آن مار را با صد زحیر,در زبان مى‏نايد آن حجت بدان‏  همچو حال سر عشق عاشقان‏,3
2408,استدراج,گر چه خفته گشت و شد ناسى ز پيش‏  كى گذارندش در آن نسيان خويش‏,3
2409,عدم,"نيست ضايع زو شود تازه جگر		ليك نبود پيك و سلطان خضر
",0
2410,پیوند عشق و بقا ,"عشق باشد لوت و پوت جانها		جوع از اين روى است قوت جانها
",2.5
